asn,conglomerate,org_id,org_name,ownership_percentage,ownership_cc,ownership_country_name,rir,source,quote,quote_lang,url,additional_info,inputs,parent_org,target_cc,target_country_name
35819,AE-ETISALAT,ORG-BAFN1-RIPE,Bayanat Al-Oula For Network Services,27.99,AE,United Arab Emirates,RIPE,Company's website,Etihad Etisalat (Mobily) is a Saudi company established in 2004. The Company's major shareholders are Etisalat Emirates Group (27.99%) and the General Organization for Social Insurance (11.85%). The remaining shares are owned by institutional and retail investors.,English,https://www.mobily.com.sa/wps/portal/personal/about-mobily/overview/!ut/p/z1/jZHBCoJAEIafpYNXZ7Iy6yYRphURWNleYg1TY3Vld1V6-6TwUmTOZfhnvn9gZoBAACSnVRpTlfKcskafiXmxZs5i5a3Rw9kR0T06C3-3nA6diQmnLsB3EEgfP_4Iu4efdCG-Me4GcGv8AfZ_gNeSL6BjCw9IzHj4vqidhyMrBiKiWyQioZeiKSdKFXKuoYZ1XesZD1P20K880yXVsOBCUVY2vUK2qsmRkO2XPmcmXCoIvkZBkR0CTN37hFUb2x4Mno6pRYw!/dz/d5/L2dBISEvZ0FBIS9nQSEh/,,"G, E",ORG-ETC1-RIPE,SA,Saudi Arabia
35819,AE-ETISALAT,ORG-BAFN1-RIPE,Bayanat Al-Oula For Network Services,27.99,AE,United Arab Emirates,RIPE,Company's website,Etihad Etisalat (Mobily) is a Saudi company established in 2004. The Company's major shareholders are Etisalat Emirates Group (27.99%) and the General Organization for Social Insurance (11.85%). The remaining shares are owned by institutional and retail investors.,English,https://www.mobily.com.sa/wps/portal/personal/about-mobily/overview/!ut/p/z1/jZHBCoJAEIafpYNXZ7Iy6yYRphURWNleYg1TY3Vld1V6-6TwUmTOZfhnvn9gZoBAACSnVRpTlfKcskafiXmxZs5i5a3Rw9kR0T06C3-3nA6diQmnLsB3EEgfP_4Iu4efdCG-Me4GcGv8AfZ_gNeSL6BjCw9IzHj4vqidhyMrBiKiWyQioZeiKSdKFXKuoYZ1XesZD1P20K880yXVsOBCUVY2vUK2qsmRkO2XPmcmXCoIvkZBkR0CTN37hFUb2x4Mno6pRYw!/dz/d5/L2dBISEvZ0FBIS9nQSEh/,,"G, E",ORG-ETC1-RIPE,SA,Saudi Arabia
48237,AE-ETISALAT,ORG-BAFN1-RIPE,Bayanat Al-Oula For Network Services,27.99,AE,United Arab Emirates,RIPE,Company's website,Etihad Etisalat (Mobily) is a Saudi company established in 2004. The Company's major shareholders are Etisalat Emirates Group (27.99%) and the General Organization for Social Insurance (11.85%). The remaining shares are owned by institutional and retail investors.,English,https://www.mobily.com.sa/wps/portal/personal/about-mobily/overview/!ut/p/z1/jZHBCoJAEIafpYNXZ7Iy6yYRphURWNleYg1TY3Vld1V6-6TwUmTOZfhnvn9gZoBAACSnVRpTlfKcskafiXmxZs5i5a3Rw9kR0T06C3-3nA6diQmnLsB3EEgfP_4Iu4efdCG-Me4GcGv8AfZ_gNeSL6BjCw9IzHj4vqidhyMrBiKiWyQioZeiKSdKFXKuoYZ1XesZD1P20K880yXVsOBCUVY2vUK2qsmRkO2XPmcmXCoIvkZBkR0CTN37hFUb2x4Mno6pRYw!/dz/d5/L2dBISEvZ0FBIS9nQSEh/,,"G, E",ORG-ETC1-RIPE,SA,Saudi Arabia
38742,AF-WIRELESS,ORG-AW1-AP-APNIC,AWCC,20.0,AF,Afghanistan,APNIC,Company's website,Afghan Wireless is a joint venture between the Bayat Group (80%) and Afghan Ministry of Communications (20%).,English,https://afghan-wireless.com/about-us/,,"G, E",,,
42313,AL-ALBTELECOM,ORG-AS1-RIPE,Albtelecom Sh.a.,16.7,AL,Albania,RIPE,Company's website,"The years 2000 found ALBtelecom in a new phase, that of preparations for privatization. CETEL Telekom, consisting of one of the largest companies in Turkey, Çalik Group (80% of the shares), and Turk Telekom (20% of the shares), purchased 76% of ALBtelecom shares, whereas the remaining share of 24 % is owned by Albanian government and other shareholders.",English,https://www.albtelecom.al/en/about-albtelecom/about-us/history/,,"G, E, W",,,
202821,AL-ALBTELECOM,ORG-AS1-RIPE,Albtelecom Sh.a.,16.7,AL,Albania,RIPE,Company's website,"The years 2000 found ALBtelecom in a new phase, that of preparations for privatization. CETEL Telekom, consisting of one of the largest companies in Turkey, Çalik Group (80% of the shares), and Turk Telekom (20% of the shares), purchased 76% of ALBtelecom shares, whereas the remaining share of 24 % is owned by Albanian government and other shareholders.",English,https://www.albtelecom.al/en/about-albtelecom/about-us/history/,,"G, E, W",,,
37081,AO-ANGOLA-TELECOM,ORG-MTL4-AFRINIC,Movicel Telecomunicacoes S.A.,20.0,AO,Angola,AFRINIC,Freedom House,"Five ostensibly private Angolan companies split ownership of 80 percent of Movicel,35 though these companies reportedly have majority shareholders who are senior officials within the former president's office. Movicel's remaining capital is held by two state enterprises, Angola Telecom and Empresa Nacional de Correios e Telegrafos de Angola",English,https://freedomhouse.org/country/angola/freedom-net/2019#footnote5_fbbhih8,,"G, E",,,
37119,AO-SONANGOL,ORG-US9-AFRINIC,UNITEL SA,25.0,AO,Angola,AFRINIC,Freedom House,State-owned Sonangol owns 25 percent of Unitel,English,https://freedomhouse.org/country/angola/freedom-net/2019#footnote5_fbbhih8,,"G, E",,,
7470,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
9287,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
