conglomerate,org_id,org_name,ownership_percentage,ownership_cc,ownership_country_name,rir,source,quote,quote_lang,url,additional_info,inputs,parent_org,target_cc,target_country_name
AE-ETISALAT,ORG-BAFN1-RIPE,Bayanat Al-Oula For Network Services,27.99,AE,United Arab Emirates,RIPE,Company's website,Etihad Etisalat (Mobily) is a Saudi company established in 2004. The Company's major shareholders are Etisalat Emirates Group (27.99%) and the General Organization for Social Insurance (11.85%). The remaining shares are owned by institutional and retail investors.,English,https://www.mobily.com.sa/wps/portal/personal/about-mobily/overview/!ut/p/z1/jZHBCoJAEIafpYNXZ7Iy6yYRphURWNleYg1TY3Vld1V6-6TwUmTOZfhnvn9gZoBAACSnVRpTlfKcskafiXmxZs5i5a3Rw9kR0T06C3-3nA6diQmnLsB3EEgfP_4Iu4efdCG-Me4GcGv8AfZ_gNeSL6BjCw9IzHj4vqidhyMrBiKiWyQioZeiKSdKFXKuoYZ1XesZD1P20K880yXVsOBCUVY2vUK2qsmRkO2XPmcmXCoIvkZBkR0CTN37hFUb2x4Mno6pRYw!/dz/d5/L2dBISEvZ0FBIS9nQSEh/,,"G, E",ORG-ETC1-RIPE,SA,Saudi Arabia
AF-WIRELESS,ORG-AW1-AP-APNIC,AWCC,20.0,AF,Afghanistan,APNIC,Company's website,Afghan Wireless is a joint venture between the Bayat Group (80%) and Afghan Ministry of Communications (20%).,English,https://afghan-wireless.com/about-us/,,"G, E",,,
AL-ALBTELECOM,ORG-AS1-RIPE,Albtelecom Sh.a.,16.7,AL,Albania,RIPE,Company's website,"The years 2000 found ALBtelecom in a new phase, that of preparations for privatization. CETEL Telekom, consisting of one of the largest companies in Turkey, Çalik Group (80% of the shares), and Turk Telekom (20% of the shares), purchased 76% of ALBtelecom shares, whereas the remaining share of 24 % is owned by Albanian government and other shareholders.",English,https://www.albtelecom.al/en/about-albtelecom/about-us/history/,,"G, E, W",,,
AO-ANGOLA-TELECOM,ORG-MTL4-AFRINIC,Movicel Telecomunicacoes S.A.,20.0,AO,Angola,AFRINIC,Freedom House,"Five ostensibly private Angolan companies split ownership of 80 percent of Movicel,35 though these companies reportedly have majority shareholders who are senior officials within the former president's office. Movicel's remaining capital is held by two state enterprises, Angola Telecom and Empresa Nacional de Correios e Telegrafos de Angola",English,https://freedomhouse.org/country/angola/freedom-net/2019#footnote5_fbbhih8,,"G, E",,,
AO-SONANGOL,ORG-US9-AFRINIC,UNITEL SA,25.0,AO,Angola,AFRINIC,Freedom House,State-owned Sonangol owns 25 percent of Unitel,English,https://freedomhouse.org/country/angola/freedom-net/2019#footnote5_fbbhih8,,"G, E",,,
CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
CN-MOBILE,ORG-TIGC1-AP-APNIC,"True International Gateway Co., Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,C,ORG-CM1-AP-APNIC,TH,Thailand
CN-MOBILE,ORG-TMCL1-AP-APNIC,True Move Company Limited,18.0,CN,China,APNIC,Company's annual report,NAME (% OF TOTAL): 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00)%,English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,E,ORG-CM1-AP-APNIC,TH,Thailand
DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
DE-DTAC,ORG-OOGS1-RIPE,OTEGlobe - OTE Global Solutions SA,31.9,DE,Germany,RIPE,Company's annual report,Shareholder: DEUTSCHE TELEKOM AG: (45.00%),English,"https://www.athexgroup.gr/documents/10180/43442/Financial+Report+OTE+S.A.+(2018,Year+Statement,Both).pdf/bcfcf16e-c120-48b9-ba18-01e603cbe36a?version=1.0",Shareholder: German State (31.9%) (https://www.telekom.com/en/investor-relations/company/shareholder-structure),C,ORG-DTA2-RIPE,GR,Greece
EG-TE,@aut-24835-RIPE,Vodafone Data - Egypt,45.0,EG,Egypt,AFRINIC,Freedom House,Telecom Egypt also owns about 45 percent of Vodafone Egypt,English,https://freedomhouse.org/country/egypt/freedom-net/2019,"In addition, virtually all of Egypt's telecommunications infrastructure is owned by Telecom Egypt, a state-owned company.","G, E, W",,,
FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
