asn,conglomerate,org_id,org_name,ownership_cc,ownership_country_name,rir,source,quote,quote_lang,url,additional_info,inputs,parent_org,target_cc,target_country_name
18678,CO-IXA,@aut-18678-LACNIC,INTERNEXA S.A. E.S.P,CO,Colombia,LACNIC,Company's website,Estructura accionaria. Gobierno colombiano: 51.41,Spanish,http://www.isa.co/es/nuestra-compania/Paginas/quienes-somos/composicion-accionaria.aspx,,"W, O",,,
262195,CO-IXA,@aut-262195-LACNIC,Transamerican Telecomunication S.A.,CO,Colombia,LACNIC,Company's website,Estructura accionaria. Gobierno colombiano: 51.42,Spanish,http://www.isa.co/es/nuestra-compania/Paginas/quienes-somos/composicion-accionaria.aspx,,"W, O",CO-IESA-LACNIC,AR,Argentina
262589,CO-IXA,@aut-262589-LACNIC,INTERNEXA BRASIL OPERADORA DE TELECOMUNICACOES S.A,CO,Colombia,LACNIC,Company's website,Estructura accionaria. Gobierno colombiano: 51.43,Spanish,http://www.isa.co/es/nuestra-compania/Paginas/quienes-somos/composicion-accionaria.aspx,,"W, O",CO-IESA-LACNIC,BR,Brazil
28032,CO-IXA,@aut-28032-LACNIC,INTERNEXA PERU S.A,CO,Colombia,LACNIC,Company's website,Estructura accionaria. Gobierno colombiano: 51.44,Spanish,http://www.isa.co/es/nuestra-compania/Paginas/quienes-somos/composicion-accionaria.aspx,,"W, O",CO-IESA-LACNIC,PE,Peru
52280,CO-IXA,@aut-52280-LACNIC,INTERNEXA Chile S.A.,CO,Colombia,LACNIC,Company's website,Estructura accionaria. Gobierno colombiano: 51.45,Spanish,http://www.isa.co/es/nuestra-compania/Paginas/quienes-somos/composicion-accionaria.aspx,,"W, O",CO-IESA-LACNIC,CL,Chile
10269,BZ-PUC,@aut-10269-LACNIC,Belize Telemedia Limited,BZ,Belize,LACNIC,Company's website,"On August 25, by virtue of an Act of Legislature of Belize, the Government of Belize became the owner of the majority of the shares in Belize Telemedia Limited. The remaining shares are owned by 908 small shareholders.",English,https://www.livedigi.com/en/our-company/our-history,,"G, E, W",,,
6568,BO-ENTEL,@aut-6568-LACNIC,Entel S.A. - EntelNet,BO,Bolivia (Plurinational State of),LACNIC,Company's website,"El 1ro de mayo de 2008, ENTEL se nacionaliza por Decreto Supremo N29544. El Estado Boliviano es ahora el titular del 97% de las acciones de la empresa; se garantiza la estabilidad laboral de los trabajadores y las trabajadoras de ENTEL, asi como los contratos suscritos con clientes y proveedores.",Spanish,http://www.entel.bo/inicio3.0/index.php/presentacion1/historia,,"G, E, W, O",,,
53237,BR-TELEBRAS,@aut-53237-LACNIC,TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS,BR,Brazil,LACNIC,Company's website,"Vinculada ao MCTIC, a Telebras é a empresa estatal que conecta o serviço público ao cidadão",Portuguese,https://www.telebras.com.br/acesso-a-informacao/institucional/,In May 2019 the contract between state-owned Telebrás and Viasat was finally approved to continue to roll out high-speed internet services via the satellite (https://freedomhouse.org/country/brazil/freedom-net/2019),"W, O",,,
11830,CR-ICE,@aut-11830-LACNIC,Instituto Costarricense de Electricidad y Telecom.,CR,Costa Rica,LACNIC,Company's website,"De conformidad con los artiiculos 4 y 8 del Decreto Ley 449 y con el artiiculo 4 de la Ley 8660, el ICE es una empresa puublica organizada como institucioon autonoma y en esa condicioon está facultado para auto administrarse y disponer de sus recursos humanos, materiales y financieros de la forma que mejor lo estime para el cumplimiento de sus cometidos.",Spanish,https://www.grupoice.com/wps/wcm/connect/1fd33930-f836-4e1f-92de-bfae2531a7fc/RCOSesion6135SitioGrupoICE.pdf?MOD=AJPERES,,"G, E, W",,,
28081,CR-ICE,@aut-11830-LACNIC,Instituto Costarricense de Electricidad y Telecom.,CR,Costa Rica,LACNIC,Company's website,"De conformidad con los artiiculos 4 y 8 del Decreto Ley 449 y con el artiiculo 4 de la Ley 8660, el ICE es una empresa puublica organizada como institucioon autonoma y en esa condicioon está facultado para auto administrarse y disponer de sus recursos humanos, materiales y financieros de la forma que mejor lo estime para el cumplimiento de sus cometidos.",Spanish,https://www.grupoice.com/wps/wcm/connect/1fd33930-f836-4e1f-92de-bfae2531a7fc/RCOSesion6135SitioGrupoICE.pdf?MOD=AJPERES,,"G, E, W",,,
