org_id,asn
@aut-18678-LACNIC,18678
@aut-262195-LACNIC,262195
@aut-262589-LACNIC,262589
@aut-28032-LACNIC,28032
@aut-52280-LACNIC,52280
@aut-10269-LACNIC,10269
@aut-6568-LACNIC,6568
@aut-53237-LACNIC,53237
@aut-11830-LACNIC,11830
@aut-11830-LACNIC,28081
@aut-3790-LACNIC,3790
@aut-27725-LACNIC,27725
@aut-27725-LACNIC,264713
@aut-10569-LACNIC,10569
@aut-11960-LACNIC,11960
@family-41069,14420
@family-41069,26613
@family-41069,27757
@family-41069,27948
@family-41069,27968
@family-41069,28006
@family-41069,28011
@aut-7727-LACNIC,7727
@aut-7727-LACNIC,263794
@aut-27866-LACNIC,27768
@aut-27866-LACNIC,27866
@aut-27775-LACNIC,27775
@aut-27775-LACNIC,263240
@aut-5639-LACNIC,5639
@aut-6057-LACNIC,6057
@aut-6057-LACNIC,7167
@aut-27889-LACNIC,27889
@aut-8048-LACNIC,8048
@aut-8048-LACNIC,10293
@aut-52361-LACNIC,52361
ORG-AC4-AFRINIC,37468
ORG-AC4-AFRINIC,327788
ORG-AT1-AFRINIC,11259
ORG-AT1-AFRINIC,37059
ORG-NT1-AFRINIC,37155
ORG-PA11-AFRINIC,17400
ORG-TCAL1-AFRINIC,36907
ORG-OA6-AFRINIC,37586
ORG-BBSS1-AFRINIC,37545
@aut-28683-RIPE,28683
ORG-BFNL1-AFRINIC,37678
ORG-BTC2-AFRINIC,14988
ORG-CT6-AFRINIC,37451
@aut-15964-RIPE,15964
ORG-CMS1-AFRINIC,37517
ORG-DTS1-AFRINIC,30990
ORG-TA23-AFRINIC,33774
ORG-TA23-AFRINIC,36947
ORG-TA23-AFRINIC,327712
ORG-OTA3-AFRINIC,327931
@aut-8452-RIPE,8452
ORG-ETSC1-AFRINIC,30987
@aut-24757-RIPE,24757
@aut-25250-RIPE,25250
ORG-GA8-AFRINIC,328107
ORG-GDID1-AFRINIC,37529
ORG-OGQ1-AFRINIC,37173
ORG-CT3-AFRINIC,36939
ORG-LTC1-AFRINIC,37203
@aut-21003-RIPE,21003
ORG-AMAJ1-AFRINIC,328200
ORG-LITC1-AFRINIC,37558
ORG-LMPC1-AFRINIC,328286
ORG-AAFT1-AFRINIC,37284
ORG-AMAJ1-AFRINIC,328200
@family-49686,17652
@family-49686,23889
@family-49686,23889
ORG-MCS4-AFRINIC,36945
ORG-MCS4-AFRINIC,37042
ORG-TDM1-AFRINIC,30619
ORG-TDM1-AFRINIC,37064
ORG-TM2-AFRINIC,36865
ORG-SNDT2-AFRINIC,37385
ORG-SLTC1-AFRINIC,36928
ORG-MOIA1-AFRINIC,327903
ORG-SP2-AFRINIC,19711
ORG-SP2-AFRINIC,327762
ORG-ADDD1-AFRINIC,328104
ORG-GSTS1-AFRINIC,37544
@aut-24691-RIPE,24691
@aut-2609-RIPE,2609
ORG-OT3-AFRINIC,37492
ORG-OT3-AFRINIC,328126
ORG-ATD4-RIPE,5438
ORG-DL6-RIPE,5532
ORG-DL6-RIPE,15735
ORG-DL6-RIPE,29387
ORG-TA40-AFRINIC,37705
ORG-MA28-AFRINIC,37508
ORG-BI2-AFRINIC,327698
ORG-TSL2-AFRINIC,5713
ORG-TSL2-AFRINIC,5734
ORG-TSL2-AFRINIC,37118
ORG-TSL2-AFRINIC,37167
ORG-TSL2-AFRINIC,37251
ORG-TSL2-AFRINIC,37457
ORG-TSL2-AFRINIC,328028
ORG-IL12-AFRINIC,22572
ORG-ZA1-AFRINIC,7420
ORG-ZTCL1-AFRINIC,37154
ORG-FL5-AFRINIC,328570
ORG-NCL2-AFRINIC,328088
ORG-PC2-AFRINIC,37184
ORG-TPL1-AFRINIC,37204
ORG-TZ1-AFRINIC,327770
ORG-PPL1-AFRINIC,36999
ORG-TN2-AFRINIC,20459
ORG-TN2-AFRINIC,36996
ORG-GCN1-AP-APNIC,55330
ORG-NCL2-AP-APNIC,55834
ORG-NCL2-AP-APNIC,137525
ORG-BSCC1-AP-APNIC,132602
ORG-BTTB1-AP-APNIC,17494
ORG-BTTB1-AP-APNIC,23876
ORG-BTTB1-AP-APNIC,45532
ORG-BTTB1-AP-APNIC,45588
ORG-BTTB1-AP-APNIC,45607
ORG-BTTB1-AP-APNIC,56031
ORG-BTTB1-AP-APNIC,56032
ORG-BTTB1-AP-APNIC,131102
ORG-TBL1-AP-APNIC,45925
ORG-TBL1-AP-APNIC,45925
ORG-BTL2-AP-APNIC,17660
ORG-BTL2-AP-APNIC,18024
ORG-BTL2-AP-APNIC,18025
ORG-JTB1-AP-APNIC,4617
ORG-JTB1-AP-APNIC,10094
@aut-133788-APNIC,133788
ORG-TC1-AP-APNIC,17726
ORG-TC1-AP-APNIC,132820
@aut-131325-APNIC,131325
@aut-132176-APNIC,132176
@aut-132177-APNIC,132177
@aut-132178-APNIC,132178
@aut-132179-APNIC,132179
@aut-132180-APNIC,132180
@aut-132181-APNIC,132181
@aut-132182-APNIC,132182
@aut-132183-APNIC,132183
@aut-132184-APNIC,132184
@aut-132185-APNIC,132185
@aut-132186-APNIC,132186
@aut-132187-APNIC,132187
@aut-132188-APNIC,132188
@aut-132189-APNIC,132189
@aut-132190-APNIC,132190
@aut-132191-APNIC,132191
@aut-133774-APNIC,133774
@aut-133775-APNIC,133775
@aut-133776-APNIC,133776
@aut-134417-APNIC,134417
@aut-134417-APNIC,134422
@aut-134417-APNIC,134423
@aut-134418-APNIC,134418
@aut-134419-APNIC,134419
@aut-134420-APNIC,134420
@aut-134421-APNIC,134421
@aut-136185-APNIC,136185
@aut-136186-APNIC,136186
@aut-136188-APNIC,136188
@aut-136190-APNIC,136190
@aut-136191-APNIC,136191
@aut-136192-APNIC,136192
@aut-136193-APNIC,136193
@aut-136194-APNIC,136194
@aut-136195-APNIC,136195
@aut-136196-APNIC,136196
@aut-136197-APNIC,136197
@aut-137686-APNIC,137686
@aut-137687-APNIC,137687
@aut-137688-APNIC,137688
@aut-137689-APNIC,137689
@aut-137690-APNIC,137690
@aut-137691-APNIC,137691
@aut-137692-APNIC,137692
@aut-137693-APNIC,137693
@aut-137694-APNIC,137694
@aut-137695-APNIC,137695
@aut-137696-APNIC,137696
@aut-137697-APNIC,137697
@aut-137698-APNIC,137698
@aut-137699-APNIC,137699
@aut-137700-APNIC,137700
@aut-17442-APNIC,17442
@aut-17633-APNIC,17633
@aut-17638-APNIC,17638
@aut-17672-APNIC,17672
@aut-17777-APNIC,17777
@aut-17785-APNIC,17785
@aut-17799-APNIC,17799
@aut-17883-APNIC,17883
@aut-17896-APNIC,17896
@aut-17897-APNIC,17897
@aut-17923-APNIC,17923
@aut-17998-APNIC,17998
@aut-23650-APNIC,23650
@aut-23724-APNIC,23724
@aut-38283-APNIC,38283
@aut-4134-APNIC,4134
@aut-4134-APNIC,45256
@aut-4809-APNIC,4809
@aut-4810-APNIC,4810
@aut-4811-APNIC,4811
@aut-4811-APNIC,4812
@aut-4813-APNIC,4813
@aut-4835-APNIC,4815
@aut-4835-APNIC,4816
@aut-4835-APNIC,4835
@aut-55877-APNIC,55877
@aut-58517-APNIC,58517
@aut-58518-APNIC,58518
@aut-58519-APNIC,58519
@aut-58520-APNIC,58520
@aut-58539-APNIC,58539
@aut-58540-APNIC,58540
@aut-58541-APNIC,58541
@aut-58542-APNIC,58542
@aut-58543-APNIC,58543
@aut-58563-APNIC,58563
@aut-58564-APNIC,58564
@aut-58565-APNIC,58565
@aut-58566-APNIC,58566
@aut-58571-APNIC,58567
@aut-58571-APNIC,58568
@aut-58571-APNIC,58569
@aut-58571-APNIC,58570
@aut-58571-APNIC,58571
@aut-58571-APNIC,58572
@aut-58571-APNIC,58573
@aut-58571-APNIC,58574
@aut-59265-APNIC,59265
@aut-63659-APNIC,63659
@aut-63810-APNIC,63810
@aut-63811-APNIC,63811
@aut-63812-APNIC,63812
@aut-63813-APNIC,63813
@aut-63814-APNIC,63814
@aut-63815-APNIC,63815
@aut-63816-APNIC,63816
@aut-63817-APNIC,63817
@aut-63818-APNIC,63818
@aut-63819-APNIC,63819
@aut-63820-APNIC,63820
@aut-63821-APNIC,63821
@aut-63822-APNIC,63822
@aut-63823-APNIC,63823
@aut-63824-APNIC,63824
@aut-63825-APNIC,63825
@aut-9800-APNIC,9800
@aut-9929-APNIC,4659
@aut-9929-APNIC,4799
@aut-9929-APNIC,4814
@aut-9929-APNIC,4837
@aut-9929-APNIC,9929
@aut-9929-APNIC,17620
@aut-9929-APNIC,17788
@aut-9929-APNIC,17789
@aut-9929-APNIC,17790
@aut-9929-APNIC,17791
@family-14357,4808
@family-14357,10206
@family-14357,17621
@family-14357,17622
@family-14357,17623
@family-14357,17816
@family-14357,63836
@family-14357,63837
@family-14357,133118
@family-14357,133119
@family-14357,134542
@family-14357,134543
@family-14357,135061
@family-14357,136958
@family-14357,136959
@family-14357,137539
@family-59023,137701
@family-59023,137702
@family-60045,132154
@family-60045,133373
@family-60045,133503
CTUC-ARIN,36678
CUAOL-ARIN,19174
ORG-CM1-AP-APNIC,9808
ORG-CM1-AP-APNIC,24311
ORG-CM1-AP-APNIC,24400
ORG-CM1-AP-APNIC,24444
ORG-CM1-AP-APNIC,24445
ORG-CM1-AP-APNIC,24547
ORG-CM1-AP-APNIC,38019
ORG-CMCC1-AP-APNIC,24059
ORG-CMCC1-AP-APNIC,45120
ORG-CMCC1-AP-APNIC,56040
ORG-CMCC1-AP-APNIC,56041
ORG-CMCC1-AP-APNIC,56042
ORG-CMCC1-AP-APNIC,56044
ORG-CMCC1-AP-APNIC,56045
ORG-CMCC1-AP-APNIC,56046
ORG-CMCC1-AP-APNIC,56047
ORG-CMCC1-AP-APNIC,56048
ORG-CMCC1-AP-APNIC,132501
ORG-CMCC1-AP-APNIC,132510
ORG-CMCC1-AP-APNIC,132511
ORG-CMCC1-AP-APNIC,132525
ORG-CMCC1-AP-APNIC,134810
ORG-CMCC1-AP-APNIC,136755
ORG-CMHK1-AP-APNIC,9231
ORG-CMHK1-AP-APNIC,137872
ORG-CMIL1-AP-APNIC,58453
ORG-CMIL1-AP-APNIC,58807
ORG-CTC3-AP-APNIC,58628
ORG-CTEL2-RIPE,44218
ORG-CTEL2-RIPE,49209
ORG-CTGL1-AP-APNIC,63527
ORG-CTGL1-AP-APNIC,64079
ORG-CTSA1-AFRINIC,25726
ORG-CUCL1-AP-APNIC,136167
ORG-CUKO1-AP-APNIC,10099
ORG-CUKO1-AP-APNIC,132101
ORG-CUOL2-RIPE,197407
ORG-CUOP1-AP-APNIC,132281
ORG-CUOP2-AP-APNIC,134821
ORG-SCTL1-AP-APNIC,24545
ORG-CL1-AP-APNIC,59257
@aut-18118-APNIC,18118
@aut-18118-APNIC,45056
@aut-24138-APNIC,24138
@aut-63711-APNIC,9394
@aut-63711-APNIC,63711
@del-9392,9392
ORG-AS4-AP-APNIC,137401
ORG-ATSL1-AP-APNIC,17975
ORG-CTIC1-AP-APNIC,2772
ORG-CTIC1-AP-APNIC,3689
ORG-CTIC1-AP-APNIC,3690
ORG-CTIC1-AP-APNIC,3691
ORG-CTIC1-AP-APNIC,3692
ORG-CTIC1-AP-APNIC,3693
ORG-CTIC1-AP-APNIC,4058
ORG-CTIC1-AP-APNIC,5017
ORG-CTIC1-AP-APNIC,5018
ORG-CTIC1-AP-APNIC,9440
ORG-CTIC1-AP-APNIC,9538
ORG-CTIC1-AP-APNIC,9665
ORG-CTIL1-AP-APNIC,17554
ORG-CTIL1-AP-APNIC,38864
ORG-CTIL2-AP-APNIC,7705
ORG-CTIL2-AP-APNIC,17814
ORG-DHPL1-AP-APNIC,137402
ORG-NTPL1-AP-APNIC,137266
ORG-SL1-AP-APNIC,17988
ORG-LL250-RIPE,12976
ORG-LTB1-RIPE,3327
ORG-PIPL1-AP-APNIC,4628
ORG-PIPL1-AP-APNIC,4765
ORG-PIPL1-AP-APNIC,45166
ORG-PIPL1-AP-APNIC,58578
ORG-PIPL1-AP-APNIC,135623
ORG-PIPL1-AP-APNIC,136464
ORG-ATHK1-AP-APNIC,4865
ORG-ATHK1-AP-APNIC,134783
ORG-CIS1-AP-APNIC,4638
ORG-ISTF1-AP-APNIC,45349
ORG-ISTF1-AP-APNIC,131108
ORG-FITL1-AP-APNIC,9241
ORG-TVL1-AP-APNIC,9249
ORG-VFL1-AP-APNIC,38442
ORG-OA9-AP-APNIC,55943
ORG-VS2-AP-APNIC,9471
ORG-BSNL1-AP-APNIC,9829
@aut-17813-APNIC,17813
@aut-17813-APNIC,59319
@aut-23693-APNIC,23693
ORG-TI10-AP-APNIC,7713
ORG-TI10-AP-APNIC,17974
ORG-TIIK1-AP-APNIC,58944
ORG-TIIP2-AP-APNIC,56308
ORG-TIIP2-AP-APNIC,58513
ORG-TIIS1-AP-APNIC,58731
@aut-38750-APNIC,38750
ORG-SJVC1-AP-APNIC,131279
ORG-LTCL2-AP-APNIC,9873
ORG-LTCL2-AP-APNIC,133630
ORG-CDTD1-AP-APNIC,4609
ORG-CDTD1-AP-APNIC,7617
ORG-CDTD1-AP-APNIC,24335
ORG-TTMB1-AP-APNIC,4788
ORG-TTMB1-AP-APNIC,9986
ORG-AL4-AP-APNIC,24432
ORG-AL4-AP-APNIC,56138
ORG-DAP1-AP-APNIC,17770
ORG-DAP1-AP-APNIC,18001
ORG-NPL10-AP-APNIC,38565
ORG-SACL1-AP-APNIC,38600
ORG-SACL1-AP-APNIC,45498
@family-46975,17885
@family-46975,24203
@family-46975,24208
ORG-CSB2-AP-APNIC,10030
ORG-FSOM1-AP-APNIC,10130
ORG-FSOM1-AP-APNIC,38875
ORG-FSOM1-AP-APNIC,45193
ORG-FSOM1-AP-APNIC,58524
ORG-FSOM1-AP-APNIC,139759
ORG-MT4-AP-APNIC,9934
ORG-MPT1-AP-APNIC,9988
ORG-MPT1-AP-APNIC,45558
ORG-MPT1-AP-APNIC,63982
ORG-NTC1-AP-APNIC,23752
ORG-NTC1-AP-APNIC,55726
ORG-NTC1-AP-APNIC,58413
ORG-ODPE1-AP-APNIC,18200
ORG-ANLI3-AP-APNIC,134597
ORG-PTCL1-AP-APNIC,4661
ORG-PTCL1-AP-APNIC,9557
ORG-PTCL1-AP-APNIC,17557
ORG-PTCL1-AP-APNIC,45595
ORG-PNCC1-AP-APNIC,17893
ORG-TPL11-AP-APNIC,17828
ORG-TPL11-AP-APNIC,135571
ORG-TPL12-AP-APNIC,38009
ORG-TPL12-AP-APNIC,45826
ORG-DA14-AP-APNIC,55792
ORG-BL10-AP-APNIC,133137
